species,fishwise_file,fishwise_id
Chaetodon mertensii,Chaetodon_mertensii_FishWise_043949F000024W000001.jpg,043949F000024W000001
Chaetodon mesoleucos,Chaetodon_mesoleucos_FishWise_043992F000024W000002.jpg,043992F000024W000002
Chaetodon mesoleucos,Chaetodon_mesoleucos_FishWise_043992F000024W000005.jpg,043992F000024W000005
Chaetodon meyeri,Chaetodon_meyeri_FishWise_044132F000024W000008.jpg,044132F000024W000008
Chaetodon miliaris,Chaetodon_miliaris_FishWise_044973F000024W000002.jpg,044973F000024W000002
Chaetodon mitratus,Chaetodon_mitratus_FishWise_045446F000024W000001.jpg,045446F000024W000001
Chaetodon multicinctus,Chaetodon_multicinctus_FishWise_046454F000024W000003.jpg,046454F000024W000003
Chaetodon nigropunctatus,Chaetodon_nigropunctatus_FishWise_048831F000024W000001.jpg,048831F000024W000001
Chaetodon nippon,Chaetodon_nippon_FishWise_048989F000024W000001.jpg,048989F000024W000001
Chaetodon ocellicaudus,Chaetodon_ocellicaudus_FishWise_050523F000024W000001.jpg,050523F000024W000001
Chaetodon octofasciatus,Chaetodon_octofasciatus_FishWise_050607F000024W000002.jpg,050607F000024W000002
Chaetodon ornatissimus,Chaetodon_ornatissimus_FishWise_051623F000024W000001.jpg,051623F000024W000001
Chaetodon paucifasciatus,Chaetodon_paucifasciatus_FishWise_053582F000024W000001.jpg,053582F000024W000001
Chaetodon pelewensis,Chaetodon_pelewensis_FishWise_054006F000024W000004.jpg,054006F000024W000004
Chaetodon plebeius,Chaetodon_plebeius_FishWise_055849F000024W000001.jpg,055849F000024W000001
Chaetodon punctatofasciatus,Chaetodon_punctatofasciatus_FishWise_057807F000024W000001.jpg,057807F000024W000001
Chaetodon rafflesii,Chaetodon_rafflesii_FishWise_058805F000024W000001.jpg,058805F000024W000001
Chaetodon reticulatus,Chaetodon_reticulatus_FishWise_059555F000024W000001.jpg,059555F000024W000001
Chaetodon semeion,Chaetodon_semeion_FishWise_063473F000024W000001.jpg,063473F000024W000001
Chaetodon semilarvatus,Chaetodon_semilarvatus_FishWise_063576F000024W000002.jpg,063576F000024W000002
Chaetodon smithi,Chaetodon_smithi_FishWise_065128F000024W000001.jpg,065128F000024W000001
Chaetodon speculum,Chaetodon_speculum_FishWise_065598F000024W000004.jpg,065598F000024W000004
Chaetodon tinkeri,Chaetodon_tinkeri_FishWise_069790F000024W000006.jpg,069790F000024W000006
Chaetodon tricinctus,Chaetodon_tricinctus_FishWise_070375F000024W000001.jpg,070375F000024W000001
Chaetodon trifascialis,Chaetodon_trifascialis_FishWise_070463F000024W000002.jpg,070463F000024W000002
Chaetodon trifascialis,Chaetodon_trifascialis_FishWise_070463F000024W000001.jpg,070463F000024W000001
Chaetodon unimaculatus,Chaetodon_unimaculatus_FishWise_032065F000024W000003.jpg,032065F000024W000003
Chaetodon wiebeli,Chaetodon_wiebeli_FishWise_074591F000024W000003.jpg,074591F000024W000003
Chelmon rostratus,Chelmon_rostratus_FishWise_060866F000024W000001.jpg,060866F000024W000001
Coradion altivelis,Coradion_altivelis_FishWise_002365F000024W000003.jpg,002365F000024W000003
Coradion chrysozonus,Coradion_chrysozonus_FishWise_014871F000024W000001.jpg,014871F000024W000001
Coradion melanopus,Coradion_melanopus_FishWise_043349F000024W000005.jpg,043349F000024W000005
Forcipiger flavissimus,Forcipiger_flavissimus_FishWise_023887F000024W000002.jpg,023887F000024W000002
Hemitaurichthys polylepis,Hemitaurichthys_polylepis_FishWise_056345F000024W000001.jpg,056345F000024W000001
Hemitaurichthys zoster,Hemitaurichthys_zoster_FishWise_075707F000024W000004.jpg,075707F000024W000004
Heniochus acuminatus,Heniochus_acuminatus_FishWise_000442F000024W000003.jpg,000442F000024W000003
Heniochus chrysostomus,Heniochus_chrysostomus_FishWise_014849F000024W000002.jpg,014849F000024W000002
Heniochus diphreutes,Heniochus_diphreutes_FishWise_019404F000024W000002.jpg,019404F000024W000002
Heniochus intermedius,Heniochus_intermedius_FishWise_031956F000024W000001.jpg,031956F000024W000001
Heniochus monoceros,Heniochus_monoceros_FishWise_045840F000024W000002.jpg,045840F000024W000002
Heniochus pleurotaenia,Heniochus_pleurotaenia_FishWise_055941F000024W000002.jpg,055941F000024W000002
Heniochus singularius,Heniochus_singularius_FishWise_064983F000024W000001.jpg,064983F000024W000001
Heniochus varius,Heniochus_varius_FishWise_072587F000024W000002.jpg,072587F000024W000002
Parachaetodon ocellatus,Parachaetodon_ocellatus_FishWise_050474F000024W000002.jpg,050474F000024W000002
